name,transcription,meaning,extended meaning,gloss,language
Aníbiírè,a-ní-ibi-í-rè,One with places to go. One with a future. One with potential opportunities.,unknown,[{'a': ' - one with'}],yoruba
Anífálájé,a-ní-ifá-ní-ajé,One with Ifá in their enterprise. We have Ifá in our enterprise.,unknown,"[{'a': ' - one who, we'}]",yoruba
Anígilájé,a-ní-igi-ní-ajé,One with trees of industry.,unknown,[{'a': ' - one who'}],yoruba
Aníkúlápó,a-ní-ikú-ní-apó,One with death in his/her pouch.,"This name (often a nickname) is given to a child deemed to have survived a near-death ordeal. Or someone from a powerful hunter family. ""Apó"" means the quiver for arrows, so the ""ikú"" is what the hunter uses to kill wild game.",[{'a': ' - one who'}],yoruba
Anímáshahun,a-ní-má-se-ahun,A person who gives freely.,unknown,[{'a': ' - one who'}],yoruba
Anímáshaun,a-ní-má-se-ahun,One who has and gives freely.,A variant of Anímaṣaun.,[{'a': ' - one who'}],yoruba
Anímáṣawun,a-ní-má-ṣe-awun,A generous giver.,"See also: Anímáṣaun, Anímáshawun, Anímáshaun",[{'a': ' - one who'}],yoruba
Aníyelóyè,a-ní-iye-ní-oyè,Somebody who is valuable/precious on the throne.,unknown,[{'a': ' - one who'}],yoruba
Aníṣulówó,a-ní-iṣu-ní-owó,One with wealth in yam farming.,unknown,[{'a': ' - one who'}],yoruba
Aníṣẹ́rẹ́,a-ní-ṣẹ́rẹ́,Custodian of Ṣàngó's tambourine.,Common aming Ṣàngó devotees. Usually name for the priest or a high up commissioner of the Ṣàngó deity,[{'a': ' - one who'}],yoruba
Aníọlá,a-ní-ọlá,We have wealth/dignity.,"""My son gave his sister this name for her naming ceremony. He was 7 at the time. We had never heard the name before and asked him where he got it. He replied that 'it just came to me' and it was similar to his name, Akinnola.

We were going through a tough financial period and the name gave us hope by reminding us that wealth and dignity mean much more than money!!""","[{'a': ' - we, someone'}]",yoruba
Aníbaba,-,The owner of fathers.,unknown,,yoruba
Anífowóṣe,a-ní-fi-owó-ṣe,One who has things to spend money on.,unknown,[{'a': ' - one who'}],yoruba
Anímáṣaun,-,One who has and is not thrifty.,unknown,,yoruba
Anjọlá,a-n-jẹ-ọlá,We're enjoying wealth.,unknown,[{'a': ' - we'}],yoruba
Anúolúwapọ̀,àánú-olúwa-pọ̀,The mercy of the lord is plenty.,unknown,[{'àánú': ' - mercy'}],yoruba
Anyọ̀nínúọlá,a-ń-yọ̀-ní-nú-ọ-lá,We continue to rejoice in wealth/success.,unknown,[{'a': ' - we'}],yoruba
Anyọ̀nínúọláolúwa,a-ń-yọ̀-nínú-ọlá-olúwa,We are rejoicing in the wealth of the lord.,unknown,[{'a': ' - we'}],yoruba
Anídùgbẹ̀,a-ní-dùgbẹ̀,An individual that has wealth.,unknown,[{'a': ' - someone'}],yoruba
Aníkúńlé,a-ní-ikú-ní-ilé,One who death is in his house.,unknown,"[{'a': ' - we, someone'}]",yoruba
Anílé,a-ní-ilé,Extra possession,unknown,[{'a': ' - someone'}],yoruba
Aníre,a-ní-ire,One who has/possesses good luck/success/blessing.,Full name: Aníreolúwa (we have the blessing/goodness of God).,[{'a': ' - someone who'}],yoruba
Ańjọláolúwa,a-ń-jẹ-ọlá-olúwa,We're enjoying the wealth of the lord.,unknown,[{'a': ' - we'}],yoruba
Ańjọrìn,a-ń-jọ-rìn,We walk together.,"A longer Yorùbá saying goes ""Ańjọrìn, a ò morí olówó"" (We walk together, but we don't know who is a future success.""",[{'a': ' - we'}],yoruba
Ańwájoyè,a-ń-wá-jẹ-oyè,We're on the way to be honoured with royalty.,unknown,[{'a': ' - we'}],yoruba
Aofolaju,awo-fi-ọlá-jù,Ifá priests are more prominent because of their nobility.,unknown,[{'awo': ' - Ifá priesthood'}],yoruba
Aófọlájùwọ́nlọ,awo-fi-ọlá-jù-wọn-lọ,The priesthood is bigger than them by virtue of nobility.,unknown,[{'awo': ' - the priesthood'}],yoruba
Apàgùtàn,a-pa-àgùtàn,The slaughterer of sheep.,unknown,[{'a': ' - one who'}],yoruba
Apàse,a-pa-àsẹ,The commander.,unknown,[{'a': ' - one who'}],yoruba
Apálówó,apá-ni-owó,The arms are wealth. [verification needed],This name appears to reinforce a common Yorùba belief that wealth comes from the work of one's literal hands.,[{'apá': ' - arms'}],yoruba
Apánpá,-,One who is cautious.,unknown,[{None: ' - '}],yoruba
Apálará,apá-ni-ará,The arms are one's closest kin.,"The name comes from the saying ""Apá l'ará, ìgùnpá n'ìyekan"", meaning ""the arms are one's kin and the shoulders are one's step siblings"". It is a saying that comes from a popular Yorùbá poem encouraging hard work and self-sufficiency.

See also: Iyelará, Ọmọlará",[{'apá': ' - arms'}],yoruba
Aperin,a-pa-eerin,One who kills an elephant.,One strong enough to defeat a strong obstacle.,[{'a': ' - someone'}],yoruba
Apórógunjó,apó-rí-ogun-jó,The weapon pouch is excited at the sight of war.,An oríkì.,[{'apó': ' - scabbard'}],yoruba
Apónjolósùn,a-pọ́n-ju-olósùn,One who's more fair skinned than one with camwood on their body.,unknown,[{'a': ' - one who (is)'}],yoruba
Apẹ́lóko,a-pẹ́-ní-oko,One who stays longer at the farm (without losing his/her dignity).,The full version is 'Apẹ́lókomájẹ́bàjẹ́'.,[{'a': ' - one who'}],yoruba
Apẹ́lẹ́hìn,a-pẹ́-ní-ẹ̀hìn,The latecomer.,"A cognomen, oríkì",[{'a': ' - one who (is)'}],yoruba
Apẹ́lẹ́yìn,a-pẹ́-ní-ẹ̀yìn,The latecomer.,A nickname.,[{'a': ' - one who'}],yoruba
Apọ́nbíepo,a-pọ́n-bí-epo,One that is fair(skinned) like palm oil.,See also: apọ́nbéporẹ́.,[{'a': ' - someone'}],yoruba
Apọ́nlẹ́sẹ̀,a-pọ́n-ní-ẹsẹ̀,Somebody with fair-complexioned legs.,unknown,[{'a': ' - one who'}],yoruba
Apọ́nmádẹ̀,a-pọ́n-má-dẹ̀,One very ripe (or fair-skinned) yet not very soft.,unknown,[{'a': ' - one who (is)'}],yoruba
Aranse,[unknown],[unknown],unknown,[{None: ' - '}],yoruba
Arábámbí,ará-bá-m-bí,Family/kin joined to give birth to this.,unknown,[{'ará': ' - kin'}],yoruba
Arádéyọ̀,a-rí-adé-yọ̀,We found royalty and rejoiced.,See also: Morádéyọ̀,"[{'a': ' - we, someone'}]",yoruba
Arájùlù,ará-ju-ìlú,Kin is greater than the town.,unknown,"[{'ará': ' - kin, family, relation'}]",yoruba
Arákalẹ̀,ará-ka-ilẹ̀,(Our) kin sat/settled down comfortably.,unknown,"[{'ará': ' - family, kin'}]",yoruba
Arámìdé,ará-mi-dé,"1. My company, kin, or relative, has come. (Arámìdé) 2. My wonder has come (Àràmídé)",unknown,"[{'ará': ' - kin, relative, company'}]",yoruba
Aránmọ̀látẹ̀,a-rán-ọmọ-ní-àtẹ,We've sent the child to (sell at) the market.,unknown,[{'a': ' - we'}],yoruba
Aráolúwa,"ará-olúwa, àrà-olúwa",1. The lord's kin (Aráolúwa) 2. The lord's wonder (Àràolúwa),unknown,"[{'ará': ' - relative, kin'}]",yoruba
Aráoyè,ará-oyè,The kin of nobility.,unknown,"[{'ará': ' - kin, relataive'}]",yoruba
Arápájà,a-rí-apá-jà,One with arms competent to fight.,unknown,[{'a': ' - one who'}],yoruba
Arápáregángan,a-rí-apá-re-gángan,One with arms competent enough to dance to the gángan drums.,"This is a nick name. It is also the name of a character in a film ""Ṣaworoidẹ"" (2009) by Mainframe Òpómúléró.",[{'a': ' - one who'}],yoruba
Arárọ̀mí,ara-rọ̀-mí,I am relieved.,unknown,[{'ara': ' - body'}],yoruba
Aráwọlé,ará-wọ̀-ilé,Kinfolk have entered.,unknown,"[{'ará': ' - kinfolk, family, relation'}]",yoruba
Arálamọ̀,ará-ni-a-mọ̀,We only know kin.,unknown,[{'ará': ' - kin'}],yoruba
Ariwódọlá,ariwo-di-ọlá,The noise has become notability.,unknown,[{'ariwo': ' - noisemaking'}],yoruba
Ariwoọlá,ariwo-ọlá,The herald of wealth/success.,unknown,[{'ariwo': ' - noise'}],yoruba
Arìnlóye,a-rìn-ní-oyè,One who walks to receive honour.,unknown,[{'a': ' - one who'}],yoruba
Arìnsóyè,a-rìn-sí-oyè,One who walks into honour.,unknown,"[{'a': ' - one who, we'}]",yoruba
Aríbalóyè,a-rí-ba(ba)-ní-oyè,One with a father in a high position.,unknown,[{'a': ' - someone'}],yoruba
Aríbátishé,a-rí-bá-ti-ṣé,One with gainful employment.,unknown,[{'a': ' - someone'}],yoruba
Aríbidó,a-rí-ibi-dó,1. We've found a place to settle/live. 2. One who has found a place to stay.,unknown,"[{'a': ' - one who, we'}]",yoruba
Aríbigbọlá,a-rí-ibi-gba-ọlá,One with enough space to store up success.,unknown,[{'a': ' - one who'}],yoruba
Aríbirè,a-rí-ibi-í-rè,One with somewhere to go. Someone that will go places. Someone that will go far in life.,"Better written as ""Aríbiírè"".",[{'a': ' - one who'}],yoruba
Aríbisìn,a-rí-ibi-sìn,We've found a place to worship/serve.,unknown,[{'a': ' - one who'}],yoruba
Aríbisọ̀gán,a-rí-ibi-ṣe-ọ̀gán,The one who foresaw evil to built a fortress.,unknown,[{'a': ' - one who'}],yoruba
Arídẹgbé,a-rí-idẹ-gbé,One who has found brass bells to carry.,A name given to the devotee of Ọ̀ṣun.,"[{'a': ' - someone, something'}]",yoruba
Arífálò,a-rí-ifá-lò,One that sees Ifá to use.,unknown,[{'a': ' - one who'}],yoruba
Arífáyọ̀,a-rí-ifá-yọ̀,One who rejoices at the sight of Ifá.,"See also: Aríyàáyọ̀, Arọ́láyọ̀/Rọ́láyọ̀, Arádéyọ̀/Morádéyọ̀.",[{'a': ' - one who'}],yoruba
Arígbábowó,a-rí-igbá-bu-owó,One with calabash big enough to gather money. See: Arígbábuwó,unknown,"[{'a': ' - one who, we'}]",yoruba
Arígbábù,a-rí-igbá-bù,One with a calabash big enough to scoop (money).,A shortened form of Arígbábuwó.,[{'a': ' - one that'}],yoruba
Arígbẹ̀dẹ̀,[unknown],[unknown],unknown,[{None: ' - '}],yoruba
Aríkúyẹrí,a-rí-ikú-yẹ-orí,One who sees death and averts it.,unknown,[{'a': ' - one who'}],yoruba
Aríléwọlá,a-rí-ilé-wo-ọlá,We have found a house in which to nurture wealth.,unknown,[{'a': ' - we'}],yoruba
Aríreolúwa,a-rí-ire-olúwa,We have seen the goodness of God.,unknown,[{'a': ' - we'}],yoruba
Aríunfáyọ̀,a-rí-oun-fún-ayọ̀,We have found something (someone) to be grateful for.,unknown,[{'a': ' - we'}],yoruba
Aríwàjoyè,a-rí-ìwà-jẹ-oyè,One who brings a good character to this chieftaincy office.,unknown,[{'a': ' - one who'}],yoruba
Aríyáyọ̀,a-rí-ìyá-yọ̀,One who rejoices at the sight of his/her mother.,"The name is typically given to a child born into a family of many elderly women (parents, grandparents, etc).

See also: Aríyehún",[{'a': ' - one who'}],yoruba
Aríyehún,a-rí-iye-hún,One who has seen the mother to rejoice with.,"It is given to a child with many women ancestors still living at the time of his birth.

See also: Aríyáyọ̀",[{'a': ' - one who'}],yoruba
Aríyìíkẹ́,a-rí-èyí-kẹ́,We have this [child] to cherish.,Also written as Aríyìkẹ́.,[{'a': ' - we'}],yoruba
Aríyìkẹ́,a-rí-èyí-kẹ́,We have this (one) to pet.,unknown,[{'a': ' - we'}],yoruba
Aríyùnkẹ́,a-rí-iyùn-kẹ́,One cared for with iyùn (beads).,unknown,[{'a': ' - someone'}],yoruba
Aríọrí,a-rí-ọ-rí,We have seen you before (We saw your in your previous incarnation),This is a name given to àbíkú children.,[{'a': ' - we'}],yoruba
Aríbisálà,a-rí-ibi-sá-là,One who has found a place to run to in order to survive.,unknown,,yoruba
Arígbábuwó,a-rí-igbá-bu-owó,1. One who has the calabash big enough to gather money. 2. We have a calabash big enough to gather money.,unknown,"[{'a': ' - one who, we'}]",yoruba
Aríyìbí,a-rí-èyí-bí,We've found this one to give birth to.,unknown,,yoruba
Aríṣekọ́lá,a-rí-se-kún-ọlá,He who adds success to great wealth.,unknown,[{'a': ' - one who'}],yoruba
Arotilé,a-ró-ti-ilé,The one who stands with his/her home.,unknown,[{'a': ' - someone who'}],yoruba
Aróbíodu,a-ró-bí-odu,"One that makes a sound like the ""odu"".","Another way to look at the name is 'one who cries like the bell', or 'one who sounds the warning bells in his song... not a towncrier, but a social activist using his songs.' 

Source: https://twitter.com/dapogundipe/status/983660048252628992",[{'a': ' - one who'}],yoruba
Aróbíẹkẹ́,a-ró-bí-ẹkẹ́,One who stands firm like the rafter.,unknown,[{'a': ' - one who'}],yoruba
Arógbọfà,a-(dú)ró-gba-ọfà,One strong enough to wait to receive arrows.,unknown,[{'a': ' - one who'}],yoruba
Arógundádé,a-rí-ogun-dé-adé,One who puts on a crown on the sight of war.,unknown,[{'a': ' - one who'}],yoruba
Arógunmátì,a-rí-ogun-má-tì,One who doesn't hesitate at the sight of war.,unknown,[{'a': ' - someone'}],yoruba
Arójòjoyè,a-rí-ojò-jẹ-oye,"One who accept honours, even in the rain. [verification needed]",unknown,[{'a': ' - one who'}],yoruba
Arókodáre,a-rí-oko-dá-àre,One who is happy to be on the farm.,unknown,[{'a': ' - one who'}],yoruba
Arókoyú,-,[Meaning unknown],unknown,[{None: ' - '}],yoruba
Arókoyọ̀,a-rí-oko-yọ̀,One that rejoices at the sight of farming.,unknown,[{'a': ' - someone'}],yoruba
Arómáshọdú,aró-mú-aṣọ-dú,The dye makes the cloth black.,unknown,[{'aró': ' - dye'}],yoruba
Arómáshọdún,aró-mú-aṣọ-dú,See: Arómáshọdú,unknown,[{'aró': ' - dye'}],yoruba
Arómáṣọdún,aró-mú-aṣọ-dú,Another way of writing 'Arómaṣọdú'.,unknown,[{'aró': ' - dye'}],yoruba
Arómirẹ́,a-rí-omi-rẹ́,One who is friendly with water.,unknown,[{'a': ' - one who'}],yoruba
Aróniyọ̀,a-rí-oní-iyọ̀,We've seen the salt seller. [verification needed],unknown,[{'a': ' - we'}],yoruba
Arónkẹ́,a-rí-ohun-kẹ́,We have found something to care for.,unknown,[{'a': ' - we'}],yoruba
Aróunfáyọ̀,a-rí-oun-fún-ayọ̀,We have found something (someone) worthy to be thankful for.,"Also spelt as ""Aríunfáyọ̀""",[{'a': ' - we'}],yoruba
Aróunkẹ́,a-rí-ohun-kẹ́,We have found something to care for.,unknown,[{'a': ' - we'}],yoruba
Arówogbọlá,a-rí-owó-gba-ọlá,One with enough money to gain nobility.,unknown,[{'a': ' - one who'}],yoruba
Arówóbùsóyè,a-rí-owó-bù-sí-oyè,One with (enough) money to add to honour.,unknown,[{'a': ' - one who'}],yoruba
Arówódáṣà,a-rí-owó-dá-àṣà,One who has money to make culture.,unknown,[{'a': ' - one who'}],yoruba
Arówójolú,a-rí-owó-jẹ-olú,One with enough money to become prominent.,"The more literal interpretation would be ""One with enough money to eat mushrooms.""",[{'a': ' - one who'}],yoruba
Arówómọlé,a-rí-owó-mọ-ilé,1. One with enough money to know his home. 2. One with enough money to build a house.,unknown,[{'a': ' - one who'}],yoruba
Arówóná,a-rí-owó-ná,One with sufficient money to spend.,See also: Arówólò.,[{'a': ' - one who'}],yoruba
Arówóramímọ́,a-rí-owó-ra-mímọ́,One with money to buy holiness.,unknown,[{'a': ' - one who'}],yoruba
Arówórà,a-rí-owó-rà,One with money enough to buy (stuff).,See: Arówólò,[{'a': ' - someone'}],yoruba
Arówóshafẹ́,a-rí-owó-ṣe-afẹ́,See: Arówóṣafẹ́,unknown,[{'a': ' - someone'}],yoruba
Arówóyẹlé,a-rí-owó-yẹ-ilé,One who finds money to befit the home.,unknown,[{'a': ' - one who'}],yoruba
Arówóṣafẹ́,a-rí-owó-ṣe-afẹ́,One with enough money to make fashion.,unknown,[{'a': ' - one who'}],yoruba
Arówóṣayé,a-rí-owó-ṣe-ayé,One who has money to enjoy life.,See also: Arówóṣafẹ́,[{'a': ' - someone'}],yoruba
Arówóṣẹgbẹ́,-,He with money enough to court (good) company.,unknown,,yoruba
Aróyègún,a-rí-oyè-gún,One who finds honour/chieftaincy in order to stand upright.,unknown,[{'a': ' - one who'}],yoruba
Aróyèhún,a-rí-oyè-hún,One who rejoices at the sight of chieftaincy.,unknown,[{'a': ' - one who'}],yoruba
Aróyèwun,a-rí-oyè-hún,He who rejoices at the sight of chieftaincy/honour.,See: Aróyèhún.,[{'a': ' - someone'}],yoruba
Arógbo,-,unknown,unknown,,yoruba
Arógunmásà́,a-rí-ogun-má-sá,One not troubled by upheaval.,unknown,[{'a': ' - one who'}],yoruba
Arómókùn,a-ró-o-mọ́-okùn,One tied up with a rope.,unknown,[{'a': ' - we'}],yoruba
Arómọlárà́n,-,One who wraps children in velvet.,unknown,,yoruba
Arubuolawe,-,[Meaning unknown],unknown,[{None: ' - '}],yoruba
Aruleiba,-,[Meaning unknown],unknown,[{None: ' - '}],yoruba
Arúbàlúsì,a-rú-ìbá-ní-ùsì,One who pays homage to elderly ones and thus became prosperous.,unknown,[{'a': ' - someone'}],yoruba
Arúbúọlá,-,[Meaning unknown],unknown,[{None: ' - '}],yoruba
Arúléba,a-rí-ulé-ba-sí,1. We've found a house to settle in. 2. One with a place to nestle in.,unknown,"[{'a': ' - we, someone who'}]",yoruba
Arógunmáyà,a-rí-ogun-má-yà,He who sees the advancement of war but never steps aside.,See also: Arógunmásàá.,[{'a': ' - someone'}],yoruba
